MarkerID	coil_x	coil_y	coil_z	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	ElectricFieldMax_x	ElectricFieldMax_y	ElectricFieldMax_x	Timestamp
marker1.1	142.55	217.53	70.42	0.5952	0.7977	-0.1023	-0.5842	0.5577	0.5653	119.8	200.6	75.0	2025-06-01T15:00:00Z
marker1.2	142.42	216.64	69.24	0.5744	0.7899	-0.0969	-0.6091	0.5359	0.5847	119.4	200.8	74.5	2025-06-01T15:00:00.020000Z
marker1.3	142.03	217.66	69.52	0.5838	0.794	-0.1029	-0.606	0.5685	0.5699	119.0	201.2	74.6	2025-06-01T15:00:00.040000Z
marker1.4	142.4	216.62	69.44	0.582	0.8074	-0.0983	-0.6012	0.547	0.5552	119.1	200.6	75.7	2025-06-01T15:00:00.060000Z
marker1.5	142.47	216.72	70.26	0.5761	0.7932	-0.0939	-0.5897	0.5593	0.5616	119.3	201.0	75.7	2025-06-01T15:00:00.080000Z
marker1.6	142.06	217.51	69.55	0.568	0.8081	-0.0864	-0.6007	0.56	0.5736	119.2	201.0	76.0	2025-06-01T15:00:00.100000Z
marker1.7	142.28	218.38	68.79	0.5882	0.8009	-0.103	-0.5991	0.5301	0.5678	119.7	201.5	74.9	2025-06-01T15:00:00.120000Z
marker1.8	141.9	217.35	70.56	0.5833	0.7947	-0.0949	-0.599	0.5597	0.563	119.3	200.6	74.5	2025-06-01T15:00:00.140000Z
marker1.9	142.45	217.73	70.1	0.5777	0.7858	-0.1042	-0.6034	0.542	0.5684	119.7	201.7	75.3	2025-06-01T15:00:00.160000Z
marker1.10	142.43	217.56	69.14	0.5797	0.8006	-0.0754	-0.6019	0.553	0.5697	118.9	201.4	75.6	2025-06-01T15:00:00.180000Z
marker1.11	142.7	217.15	70.8	0.566	0.8059	-0.0781	-0.6099	0.5443	0.571	119.2	200.0	75.2	2025-06-01T15:00:00.200000Z
marker1.12	141.77	217.84	69.64	0.5955	0.7922	-0.1032	-0.5919	0.5377	0.5723	120.2	200.0	75.3	2025-06-01T15:00:00.220000Z
marker1.13	142.43	217.99	69.48	0.5668	0.8052	-0.097	-0.5975	0.5535	0.5632	119.6	200.9	74.8	2025-06-01T15:00:00.240000Z
marker1.14	143.23	217.84	69.5	0.5866	0.7903	-0.0921	-0.5884	0.5418	0.5796	119.7	201.2	76.1	2025-06-01T15:00:00.260000Z
marker1.15	142.18	217.22	69.66	0.5718	0.7992	-0.0966	-0.5972	0.5583	0.5701	120.2	200.7	76.6	2025-06-01T15:00:00.280000Z
marker1.16	142.61	217.17	69.56	0.5848	0.7978	-0.0929	-0.5953	0.5493	0.5615	118.7	200.6	75.6	2025-06-01T15:00:00.300000Z
marker1.17	142.41	216.98	70.19	0.5839	0.7912	-0.0985	-0.5994	0.5386	0.5736	119.8	201.3	75.7	2025-06-01T15:00:00.320000Z
marker1.18	141.61	217.13	70.36	0.5851	0.8052	-0.0615	-0.5943	0.5614	0.5795	119.8	200.6	75.6	2025-06-01T15:00:00.340000Z
marker1.19	141.91	217.48	69.86	0.5808	0.8231	-0.1187	-0.5931	0.5339	0.5653	120.0	200.8	74.7	2025-06-01T15:00:00.360000Z
marker1.20	141.94	217.94	69.73	0.5822	0.8005	-0.1065	-0.5786	0.5563	0.5497	119.6	200.5	75.6	2025-06-01T15:00:00.380000Z
marker1.21	141.9	217.54	70.35	0.5887	0.788	-0.1033	-0.6047	0.5435	0.5877	119.7	200.2	75.7	2025-06-01T15:00:00.400000Z
marker1.22	143.36	218.12	69.34	0.5752	0.8127	-0.1071	-0.5956	0.5577	0.5607	119.5	199.2	74.7	2025-06-01T15:00:00.420000Z
