CoilDriver	CoilID	StimulusMode	CurrentDirection	Waveform	ProtocolName	StimStepCount	FirstPulseAmplitude	MotorResponse	Latency	StimValidation	Timestamp
manual	coil_1	single	normal	biphasic	rmt	1	40	10684	28.0	good	2025-06-01T13:45:10.456Z
manual	coil_1	single	normal	biphasic	rmt	2	30	193	25.0	good	2025-06-01T13:45:11.456Z
manual	coil_1	single	normal	biphasic	rmt	3	37	4206	21.0	good	2025-06-01T13:45:12.456Z
manual	coil_1	single	normal	biphasic	rmt	4	34	n/a	n/a	bad	2025-06-01T13:45:13.456Z
manual	coil_1	single	normal	biphasic	rmt	5	37	1637	17.0	good	2025-06-01T13:45:14.456Z
manual	coil_1	single	normal	biphasic	rmt	6	34	477	20.0	good	2025-06-01T13:45:15.456Z
manual	coil_1	single	normal	biphasic	rmt	7	34	743	22.0	good	2025-06-01T13:45:16.456Z
manual	coil_1	single	normal	biphasic	rmt	8	33	n/a	n/a	bad	2025-06-01T13:45:17.456Z
manual	coil_1	single	normal	biphasic	rmt	9	31	380	26.0	good	2025-06-01T13:45:18.456Z
manual	coil_1	single	normal	biphasic	rmt	10	28	355	25.0	good	2025-06-01T13:45:19.456Z
manual	coil_1	single	normal	biphasic	rmt	11	28	441	22.0	good	2025-06-01T13:45:20.456Z
manual	coil_1	single	normal	biphasic	rmt	12	27	474	22.0	good	2025-06-01T13:45:21.456Z
manual	coil_1	single	normal	biphasic	rmt	13	26	255	33.3	good	2025-06-01T13:45:22.456Z
manual	coil_1	single	normal	biphasic	rmt	14	25	323	21.0	good	2025-06-01T13:45:23.456Z
manual	coil_1	single	normal	biphasic	rmt	15	24	341	53.3	good	2025-06-01T13:45:24.456Z
manual	coil_1	single	normal	biphasic	rmt	16	23	250	35.0	good	2025-06-01T13:45:25.456Z
manual	coil_1	single	normal	biphasic	rmt	17	22	266	29.0	good	2025-06-01T13:45:26.456Z
manual	coil_1	single	normal	biphasic	rmt	18	21	143	45801	good	2025-06-01T13:45:27.456Z
manual	coil_1	single	normal	biphasic	rmt	19	23	200	42.0	good	2025-06-01T13:45:28.456Z
manual	coil_1	single	normal	biphasic	rmt	20	23	139	59.0	good	2025-06-01T13:45:29.456Z
