CoilDriver	CoilID	StimulusMode	CurrentDirection	Waveform	ProtocolName	InterStimulusInterval	MarkerID	StimStepCount	FirstPulseAmplitudeRMT	SecondPulseAmplitudeRMT	StimValidation	MotorResponse	Latency	ResponseChannelName		ResponseChannelReference	ResponseChannelDescription	IntendedFor	Timestamp
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.1	1	100.0	n/a	good	243.67	18.85	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:00Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.2	2	100.0	n/a	good	341.62	21.47	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:05Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.3	3	100.0	n/a	good	304.44	18.24	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:10Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.4	4	100.0	n/a	good	281.77	24.37	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:15Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.5	5	100.0	n/a	good	206.52	19.81	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:20Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.6	6	100.0	n/a	good	206.52	22.64	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:25Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.7	7	100.0	n/a	good	189.87	20.18	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:30Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.8	8	100.0	n/a	good	327.25	21.64	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:35Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.9	9	100.0	n/a	good	282.19	21.83	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:40Z
cobot	coil_2	single	normal	biphasic	Single	n/a	marker1.10	10	100.0	n/a	good	300.37	19.29	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:45Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.11	11	80.0	120.0	good	183.5	24.79	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:50Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.12	12	80.0	120.0	good	344.88	23.43	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:00:55Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.13	13	80.0	120.0	good	321.52	24.58	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:00Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.14	14	80.0	120.0	good	216.1	24.26	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:05Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.15	15	80.0	120.0	good	210.91	22.19	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:10Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.16	16	80.0	120.0	good	211.18	24.45	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:15Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.17	17	80.0	120.0	good	231.72	18.62	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:20Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.18	18	80.0	120.0	good	269.21	19.37	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:25Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.19	19	80.0	120.0	good	253.43	18.32	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:30Z
cobot	coil_2	dual	normal	monophasic	SICI	2.0	marker1.20	20	80.0	120.0	good	229.51	20.28	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:35Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.21	21	80.0	120.0	good	284.01	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:40Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.22	22	80.0	120.0	good	203.71	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:45Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.23	23	80.0	120.0	good	229.66	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:50Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.24	24	80.0	120.0	good	242.28	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:01:55Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.25	25	80.0	120.0	good	257.53	19.97	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:00Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.26	26	80.0	120.0	good	313.48	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:05Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.27	27	80.0	120.0	good	213.94	18.99	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:10Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.28	28	80.0	120.0	good	267.42	23.62	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:15Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.29	29	80.0	120.0	good	280.71	18.52	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:20Z
cobot	coil_2	dual	normal	monophasic	ICF	10.0	marker1.30	30	80.0	120.0	good	187.9	24.91	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:25Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.31	31	120.0	n/a	good	283.28	23.41	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:30Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.32	32	120.0	n/a	good	208.99	19.39	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:35Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.33	33	120.0	n/a	good	191.06	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:40Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.34	34	120.0	n/a	good	341.31	23.71	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:45Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.35	35	120.0	n/a	good	344.16	22.95	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:50Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.36	36	120.0	n/a	good	317.43	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:02:55Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.37	37	120.0	n/a	good	231.78	20.72	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:03:00Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.38	38	120.0	n/a	good	196.6	18.52	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:03:05Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.39	39	120.0	n/a	good	296.32	20.51	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:03:10Z
cobot	coil_2	single	normal	biphasic	SP	n/a	marker1.40	40	120.0	n/a	good	254.83	18.81	FDI	EMG	FDI+	 first dorsal interosseous muscle 	/sub-001/ses-02/eeg/sub-001_ses-02_task-motor_eeg.eeg	2025-09-13T14:03:15Z
